root,pos,common
universitato,N,True
unu,misc,True
urbo,N,True
utila,A,True
-us,suf,True
uzi,VT,True
vagono,N,True
valida,A,False
valoro,N,True
varma,A,True
vasta,A,False
veki,VT,False
veni,VI,True
vendi,VT,True
vendredo,N,True
venki,VT,False
vento,N,False
vera,A,True
verda,A,False
verki,VT,True
vespero,N,True
vesto,N,True
vetero,N,False
veturi,VI,True
vi,VT,True
viando,N,True
vico,N,False
vidi,VT,True
vigla,A,False
vilaĝo,N,True
vino,N,False
vintro,N,True
viro,N,True
viŝi,VT,False
vitro,N,False
vivi,VI,False
vizaĝo,N,False
viziti,VT,True
voĉo,N,False
vojo,N,True
vojaĝi,VI,True
voki,VT,False
voli,VT,True
volvi,VT,False
vorto,N,True
vosto,N,False
zorgi,VI,True
